nameType,acceptedNameUsage,taxonomicStatus,scientificName,canonicalName,taxonRank
scientific,Selaginella pygmaea (Kaulf.) Alston,accepted,Selaginella pygmaea (Kaulf.) Alston,Selaginella pygmaea,Species
phrase name,Selaginella sp. Mt Gilruth (D.L.Jones 1543) NT Herbarium,accepted,Selaginella sp. Mt Gilruth (D.L.Jones 1543) NT Herbarium,Selaginella sp. Mt Gilruth (D.L.Jones 1543),Species
scientific,Selaginella uliginosa (Labill.) Spring,accepted,Selaginella uliginosa (Labill.) Spring,Selaginella uliginosa,Species
scientific,Selaginella umbrosa Lem. ex Hieron.,accepted,Selaginella umbrosa Lem. ex Hieron.,Selaginella umbrosa,Species
scientific,Selaginella vogelii Spring,accepted,Selaginella vogelii Spring,Selaginella vogelii,Species
scientific,Selaginella willdenowii (Desv. ex Poir.) Baker,accepted,Selaginella willdenowii (Desv. ex Poir.) Baker,Selaginella willdenowii,Species
scientific,Aciphylla glacialis (F.Muell.) Benth.,accepted,Aciphylla glacialis (F.Muell.) Benth.,Aciphylla glacialis,Species
scientific,Aciphylla simplicifolia (F.Muell.) Benth.,accepted,Aciphylla simplicifolia (F.Muell.) Benth.,Aciphylla simplicifolia,Species
scientific,Actinotus bellidioides (Hook.f.) Benth.,accepted,Actinotus bellidioides (Hook.f.) Benth.,Actinotus bellidioides,Species
scientific,Actinotus forsythii Maiden & Betche,accepted,Actinotus forsythii Maiden & Betche,Actinotus forsythii,Species
scientific,Actinotus gibbonsii F.Muell.,accepted,Actinotus gibbonsii F.Muell.,Actinotus gibbonsii,Species
scientific,Actinotus glomeratus Benth.,accepted,Actinotus glomeratus Benth.,Actinotus glomeratus,Species
scientific,Actinotus helianthi Labill.,accepted,Actinotus helianthi Labill.,Actinotus helianthi,Species
scientific,Actinotus humilis (F.Muell. & Tate) Domin,accepted,Actinotus humilis (F.Muell. & Tate) Domin,Actinotus humilis,Species
scientific,Actinotus laxus Keighery,accepted,Actinotus laxus Keighery,Actinotus laxus,Species
scientific,Actinotus leucocephalus Benth.,accepted,Actinotus leucocephalus Benth.,Actinotus leucocephalus,Species
scientific,Actinotus minor (Sm.) Tratt.,accepted,Actinotus minor (Sm.) Tratt.,Actinotus minor,Species
scientific,Actinotus moorei F.Muell. ex Rodway,accepted,Actinotus moorei F.Muell. ex Rodway,Actinotus moorei,Species
scientific,Actinotus omnifertilis (F.Muell.) Benth.,accepted,Actinotus omnifertilis (F.Muell.) Benth.,Actinotus omnifertilis,Species
scientific,Actinotus paddisonii R.T.Baker,accepted,Actinotus paddisonii R.T.Baker,Actinotus paddisonii,Species
scientific,Actinotus periculosus Henwood,accepted,Actinotus periculosus Henwood,Actinotus periculosus,Species
scientific,Actinotus repens Keighery ex Henwood,accepted,Actinotus repens Keighery ex Henwood,Actinotus repens,Species
scientific,Actinotus rhomboideus (Turcz.) Benth.,accepted,Actinotus rhomboideus (Turcz.) Benth.,Actinotus rhomboideus,Species
scientific,Actinotus schwarzii F.Muell.,accepted,Actinotus schwarzii F.Muell.,Actinotus schwarzii,Species
phrase name,Actinotus sp. Comet Vale (A.V.Milewski AVM1093) WA Herbarium,accepted,Actinotus sp. Comet Vale (A.V.Milewski AVM1093) WA Herbarium,Actinotus sp. Comet Vale (A.V.Milewski AVM1093),Species
scientific,Actinotus suffocatus (Hook.f.) Rodway,accepted,Actinotus suffocatus (Hook.f.) Rodway,Actinotus suffocatus,Species
scientific,Actinotus superbus O.H.Sarg.,accepted,Actinotus superbus O.H.Sarg.,Actinotus superbus,Species
scientific,Actinotus whicheranus Keighery,accepted,Actinotus whicheranus Keighery,Actinotus whicheranus,Species
scientific,Aegopodium podagraria L.,accepted,Aegopodium podagraria L.,Aegopodium podagraria,Species
scientific,Ammi majus L.,accepted,Ammi majus L.,Ammi majus,Species
scientific,Ammi visnaga (L.) Lam.,accepted,Ammi visnaga (L.) Lam.,Ammi visnaga,Species
scientific,Anethum graveolens L.,accepted,Anethum graveolens L.,Anethum graveolens,Species
scientific,Anisotome procumbens (F.Muell.) C.J.Webb,accepted,Anisotome procumbens (F.Muell.) C.J.Webb,Anisotome procumbens,Species
scientific,Anthriscus caucalis M.Bieb.,accepted,Anthriscus caucalis M.Bieb.,Anthriscus caucalis,Species
scientific,Apium annuum P.S.Short,accepted,Apium annuum P.S.Short,Apium annuum,Species
scientific,Apium graveolens L.,accepted,Apium graveolens L.,Apium graveolens,Species
scientific,Apium insulare P.S.Short,accepted,Apium insulare P.S.Short,Apium insulare,Species
scientific,Apium prostratum Labill. ex Vent.,accepted,Apium prostratum Labill. ex Vent.,Apium prostratum,Species
