Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,Source.Extinct,Source.Rediscovered.or.Synonymised
Aspalathus_variegata,na,na,species,Fabaceae,EX,CPP,S,Cham.,WP,Extinct,Aspalathus_variegata,"Hilton-Taylor, C. (ed.) (1996). Red data list of Southern African plants: 1-117. National Botanical Institute, Pretoria.",
Astilbe_crenatiloba,na,na,species,Saxifragaceae,EX,"NCA,TEN",G,Hemicr.,WP,Extinct,Astilbe_crenatiloba,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",
Astiria_rosea,na,na,species,Malvaceae,EX,MAU,WT,Nanophan._or_phan.,WP,Extinct,Astiria_rosea,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
Astragalus_agraniotii,na,na,species,Fabaceae,CR,GRC,G,Cham.,WP,Rediscovered,Astragalus_agraniotii,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",http://www.greekflora.gr/el/flowers/0847/Astragalus-agraniotii
Astragalus_arianus,na,na,species,Fabaceae,EW,TKM,G,Hemicr.,WP,Extinct,Astragalus_arianus,"Borodin, A.M. & al. (1985). Krasnaya kniga SSSR: redkie i nakhodyashchiesya pod ugrozoi ischeznoveniya vidy zhivotnykh i rastenii. - izdanie vtoroe [2]: tom pervyi - vtoroi [1-2].. Lesnaya Promyshlennost, Moscow.",
Astragalus_columbianus,na,na,species,Fabaceae,CR,WAS,G,Hemicr.,WP,Rediscovered,Astragalus_columbianus,"Ayensu, E.S. & Defilipps, R.A. (1978). Endangered and Threatened Plants of the United States: 1-403. Smithsonian Institution and WWF-US, Washington DC.",Brittonia 31: 261 (1979)
Astragalus_desereticus,na,na,species,Fabaceae,CR,UTA,G,Hemicr.,WP,Rediscovered,Astragalus_desereticus,"Ayensu, E.S. & Defilipps, R.A. (1978). Endangered and Threatened Plants of the United States: 1-403. Smithsonian Institution and WWF-US, Washington DC.",http://www.centerforplantconservation.org/ASP/CPC_ViewProfile.asp?CPCNum=396
Astragalus_humillimus,na,na,species,Fabaceae,EX,"COL,NWM",G,Hemicr.,WP,Extinct,Astragalus_humillimus,"Ayensu, E.S. & Defilipps, R.A. (1978). Endangered and Threatened Plants of the United States: 1-403. Smithsonian Institution and WWF-US, Washington DC.",
Astragalus_linifolius,na,na,species,Fabaceae,EX,COL,G,Hemicr.,WP,Extinct,Astragalus_linifolius,"Ayensu, E.S. & Defilipps, R.A. (1978). Endangered and Threatened Plants of the United States: 1-403. Smithsonian Institution and WWF-US, Washington DC.",
Astragalus_nitidiflorus,na,na,species,Fabaceae,CR,SPA,G,Hemicr.,WP,Rediscovered,Astragalus_nitidiflorus,"CPC (1992). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","http://www.regmurcia.com/servlet/s.Sl?sit=c,365,m,1309&r=ReP-8597-DETALLE_REPORTAJES"
Astragalus_physocalyx,na,na,species,Fabaceae,EN,"BUL,GRC,YUG",G,Hemicr._or_cham.,WP,Rediscovered,Astragalus_physocalyx,"Velchev, V. & al. (1984). Red data book of Bulgaria: 1-447. Sofiya.",http://www.iucnredlist.org/details/165176/1
Astragalus_pseudocylindraceus,na,na,species,Fabaceae,EX,TUR,G,Cham.,WP,Extinct,Astragalus_pseudocylindraceus,"Ekim, T. & al. (1989). Türkiye'nin tehlike altindakinadir ve endemik bitki turleri: 1-227. Ankara.",
Astronidium_floribundum,na,na,species,Melastomataceae,EW,FIJ,WT,Nanophan._or_phan.,WP,Extinct,Astronidium_floribundum,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
